pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-1989 b,Kepler-1989,0,1,1,Transit,2023,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,10.16103226,0.00000931,-0.00000931,0,0.091800,,,0,4.420,1.780,-0.560,0,,,,,,,,,,,,,,0.000000,,,0,157.97,190.10,-54.00,0,904,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,6032.00,177.00,-216.00,0,1.06,0.42,-0.14,0,1.00,0.17,-0.12,0,-0.140,0.240,-0.300,0,[Fe/H],4.39,0.09,-0.27,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m56.44s,290.7351869,+44d05m28.54s,44.0912620,1252.1300000,33.3300000,-31.6800000,14.2890000,0.4810000,-0.4810000,13.1930000,0.0590000,-0.0590000,14.6131000,0.0002910,-0.0002910,2014-11-21,2014-12-18,2014-11-21
Kepler-1989 b,Kepler-1989,0,1,1,Transit,2023,Kepler,Published Confirmed,0,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,10.16102981,0.00000087,-0.00000087,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5953.00,122.00,-122.00,0,1.30,,,0,1.09,,,0,,,,,,4.25,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m56.44s,290.7351869,+44d05m28.54s,44.0912620,1252.1300000,33.3300000,-31.6800000,14.2890000,0.4810000,-0.4810000,13.1930000,0.0590000,-0.0590000,14.6131000,0.0002910,-0.0002910,2016-07-26,2016-07,2016-07-28
Kepler-1989 b,Kepler-1989,0,1,1,Transit,2023,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,10.16103226,0.00000931,-0.00000931,0,0.091800,,,0,4.420,1.780,-0.560,0,,,,,,,,,,,,,,0.000000,,,0,157.97,190.10,-54.00,0,904,,,0,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,6032.00,177.00,-216.00,0,1.06,0.42,-0.14,0,1.00,0.17,-0.12,0,-0.140,0.240,-0.300,0,[Fe/H],4.39,0.09,-0.27,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m56.44s,290.7351869,+44d05m28.54s,44.0912620,1252.1300000,33.3300000,-31.6800000,14.2890000,0.4810000,-0.4810000,13.1930000,0.0590000,-0.0590000,14.6131000,0.0002910,-0.0002910,2014-11-18,2014-12-04,2014-11-18
Kepler-1989 b,Kepler-1989,0,1,1,Transit,2023,Kepler,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,10.16095600,0.00003600,-0.00003600,0,0.094000,,,0,3.700,1.100,-1.100,0,,,,,,,,,,,,,,0.000000,,,0,,,,0,868,,,0,0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5767.00,200.00,-200.00,0,1.09,0.30,-0.30,0,1.08,0.30,-0.30,0,,,,0,,4.39,0.30,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m56.44s,290.7351869,+44d05m28.54s,44.0912620,1252.1300000,33.3300000,-31.6800000,14.2890000,0.4810000,-0.4810000,13.1930000,0.0590000,-0.0590000,14.6131000,0.0002910,-0.0002910,2013-10-28,2014-01-08,2013-10-28
Kepler-1989 b,Kepler-1989,0,1,1,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,10.16102353,0.00000918,-0.00000918,0,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5953.00,122.00,-122.00,0,1.30,,,0,1.09,,,0,,,,,,4.25,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m56.44s,290.7351869,+44d05m28.54s,44.0912620,1252.1300000,33.3300000,-31.6800000,14.2890000,0.4810000,-0.4810000,13.1930000,0.0590000,-0.0590000,14.6131000,0.0002910,-0.0002910,2018-09-25,2018-08-16,2018-09-25
Kepler-1990 b,Kepler-1990,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,1.73513650,0.00000130,-0.00000130,0,0.029000,,,0,3.690,0.280,-0.280,0,,,,,,,,,,,,,,0.000000,,,0,,,,0,1571,,,0,0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5838.00,50.00,-50.00,0,1.08,0.08,-0.08,0,1.11,0.03,-0.03,0,,,,0,,4.42,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h58m49.14s,299.7047433,+44d26m08.54s,44.4357068,392.7390000,4.2400000,-4.1520000,11.9460000,0.0520000,-0.0520000,11.0550000,0.0390000,-0.0390000,12.5829000,0.0001680,-0.0001680,2013-10-28,2014-01-08,2013-10-28
Kepler-1990 b,Kepler-1990,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,1.73513603,0.00000028,-0.00000028,0,0.028400,,,0,3.760,0.650,-0.530,0,,,,,,,,,,,,,,0.000000,,,0,1813.88,886.70,-582.75,0,1664,,,0,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5731.00,110.00,-120.00,0,1.23,0.21,-0.17,0,1.02,0.09,-0.07,0,0.160,0.120,-0.140,0,[Fe/H],4.26,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h58m49.14s,299.7047433,+44d26m08.54s,44.4357068,392.7390000,4.2400000,-4.1520000,11.9460000,0.0520000,-0.0520000,11.0550000,0.0390000,-0.0390000,12.5829000,0.0001680,-0.0001680,2015-08-25,2015-09-24,2015-08-25
Kepler-1990 b,Kepler-1990,0,1,2,Transit,2023,Kepler,Published Confirmed,0,<a refstr=VALIZADEGAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230502470V/abstract target=ref>Valizadegan et al. 2023</a>,1.73512995,,,0,,,,,3.914,,,0,0.349,,,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5751.00,103.00,-114.00,0,1.07,0.18,-0.11,0,1.03,0.07,-0.07,0,0.210,0.150,-0.150,0,[Fe/H],4.39,0.08,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h58m49.14s,299.7047433,+44d26m08.54s,44.4357068,392.7390000,4.2400000,-4.1520000,11.9460000,0.0520000,-0.0520000,11.0550000,0.0390000,-0.0390000,12.5829000,0.0001680,-0.0001680,2023-05-16,2023-05,2023-05-16
Kepler-1990 b,Kepler-1990,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,1.73513603,0.00000028,-0.00000028,0,0.028400,,,0,3.760,0.650,-0.530,0,,,,,,,,,,,,,,0.000000,,,0,1813.88,886.70,-582.75,0,1664,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5731.00,110.00,-120.00,0,1.23,0.21,-0.17,0,1.02,0.09,-0.07,0,0.160,0.120,-0.140,0,[Fe/H],4.26,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h58m49.14s,299.7047433,+44d26m08.54s,44.4357068,392.7390000,4.2400000,-4.1520000,11.9460000,0.0520000,-0.0520000,11.0550000,0.0390000,-0.0390000,12.5829000,0.0001680,-0.0001680,2014-11-21,2014-12-18,2014-11-21
Kepler-1990 b,Kepler-1990,0,1,2,Transit,2023,Kepler,Published Confirmed,0,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,1.73513611,0.00000016,-0.00000016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5940.00,134.47,-128.51,0,1.08,0.06,-0.04,0,1.08,0.17,-0.12,0,,,,,,4.40,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h58m49.14s,299.7047433,+44d26m08.54s,44.4357068,392.7390000,4.2400000,-4.1520000,11.9460000,0.0520000,-0.0520000,11.0550000,0.0390000,-0.0390000,12.5829000,0.0001680,-0.0001680,2016-07-26,2016-07,2016-07-28
